Zipcode,Latitude,Longitude
33446,26.452473,-80.16509
33499,26.645895,-80.430269
33415,26.659344,-80.12704
33431,26.381304,-80.09623
33434,26.382408,-80.16699
33484,26.458152,-80.1356
33421,26.645895,-80.430269
33413,26.668944,-80.14721
33468,26.645895,-80.430269
33411,26.719596,-80.22077
33404,26.782114,-80.06528
33405,26.669744,-80.0585
33493,26.663097,-80.71827
33437,26.522249,-80.15031
33466,26.645895,-80.430269
33401,26.711192,-80.06043
33430,26.685125,-80.66279
33487,26.409953,-80.08841
33448,26.645895,-80.430269
33459,26.645895,-80.430269
33416,26.665394,-80.092864
33422,26.645895,-80.430269
33463,26.609226,-80.12874
33417,26.715596,-80.1262
33420,26.645895,-80.430269
33424,26.645895,-80.430269
33402,26.645895,-80.430269
33419,26.645895,-80.430269
33435,26.524549,-80.06321
33432,26.347305,-80.08552
33458,26.928035,-80.11803
33447,26.645895,-80.430269
33433,26.347711,-80.15648
33462,26.579714,-80.07437
33408,26.840684,-80.06312
33439,26.645895,-80.430269
33465,26.628272,-80.132569
33480,26.715067,-80.03937
33409,26.709575,-80.09443
33426,26.529581,-80.08226
33429,26.645895,-80.430269
33497,26.645895,-80.430269
33406,26.659294,-80.09118
33438,26.900359,-80.60368
33410,26.839588,-80.08824
33454,26.645895,-80.430269
33428,26.348354,-80.21841
33476,26.817786,-80.65425
33483,26.465051,-80.06517
33445,26.459571,-80.10582
33414,26.65671,-80.25377
33427,26.375954,-80.10717
33467,26.601937,-80.17921
33470,26.751094,-80.30156
33436,26.530144,-80.10461
33469,26.968795,-80.0994
33460,26.619695,-80.05676
33403,26.802139,-80.07032
33407,26.750991,-80.07296
33496,26.404353,-80.1627
33444,26.460951,-80.07891
33418,26.877984,-80.16052
33486,26.344955,-80.11226
33477,26.924709,-80.08119
33498,26.391346,-80.21824
33474,26.645895,-80.430269
33488,26.645895,-80.430269
33425,26.645895,-80.430269
33482,26.645895,-80.430269
33481,26.645895,-80.430269
33461,26.621145,-80.08976
33412,26.795367,-80.24044
33478,26.925835,-80.21526
33464,26.645895,-80.430269
